run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
1,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_1_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_1_csr_dynamic.battery.csv,7372.57,True,16,1.0,198.0,3.849,9.7,16,762.1,,,,,,,,adb_dumpsys_battery_polling,
20,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_20_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_20_ssr_static.battery.csv,5705.5,True,15,1.0,201.0,3.839,7.4,15,771.6,,,,,,,,adb_dumpsys_battery_polling,
21,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_21_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_21_csr_massive.battery.csv,6502.08,True,17,1.0,198.0,3.839,8.6,17,760.1,,,,,,,,adb_dumpsys_battery_polling,
22,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_22_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_22_csr_massive.battery.csv,8570.99,True,17,1.0,258.65,3.834,8.6,17,996.9,,,,,,,,adb_dumpsys_battery_polling,
23,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_23_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_23_ssr_static.battery.csv,6028.49,True,16,1.0,207.0,3.833,7.6,16,793.4,,,,,,,,adb_dumpsys_battery_polling,
24,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_24_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_24_ssr_massive.battery.csv,6056.21,True,15,1.0,207.0,3.838,7.6,15,794.5,,,,,,,,adb_dumpsys_battery_polling,
25,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_25_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_25_ssr_dynamic.battery.csv,5964.67,True,15,1.0,205.0,3.837,7.6,15,786.6,,,,,,,,adb_dumpsys_battery_polling,
26,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_26_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_26_ssr_static.battery.csv,5562.98,True,15,1.0,195.0,3.837,7.4,15,748.2,,,,,,,,adb_dumpsys_battery_polling,
27,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_27_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_27_ssr_static.battery.csv,5105.65,True,15,1.0,193.2,3.834,7.0,15,731.8,,,,,,,,adb_dumpsys_battery_polling,
28,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_28_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_28_csr_massive.battery.csv,39615.78,True,17,1.0,1197.88,3.761,8.7,17,4547.3,,,,,,,,adb_dumpsys_battery_polling,
29,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_29_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_29_ssr_massive.battery.csv,7100.2,True,16,1.0,243.0,3.834,7.6,16,931.7,,,,,,,,adb_dumpsys_battery_polling,
2,ssr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_2_ssr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_2_ssr_static.battery.csv,6000.16,True,14,1.0,195.0,3.853,8.0,14,751.3,,,,,,,,adb_dumpsys_battery_polling,
30,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_30_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_30_csr_static.battery.csv,8516.56,True,18,1.0,245.0,3.833,9.1,18,939.1,,,,,,,,adb_dumpsys_battery_polling,
31,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_31_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_31_csr_static.battery.csv,6732.2,True,16,1.0,219.0,3.833,8.0,16,839.4,,,,,,,,adb_dumpsys_battery_polling,
32,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_32_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_32_csr_static.battery.csv,7496.68,True,17,1.0,228.82,3.803,8.6,17,871.2,,,,,,,,adb_dumpsys_battery_polling,
33,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_33_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_33_csr_static.battery.csv,6732.88,True,16,1.0,205.0,3.827,8.6,16,784.5,,,,,,,,adb_dumpsys_battery_polling,
